id,user_contract_id,weeklyschedule_id,label_id,breakduration,starts_at,ends_at,real_breakduration,real_starts_at,real_ends_at,did_not_show,validated_at,validator_id,planned_hours_last_edited_at,planned_hours_last_edited_by_id,created_at,updated_at,locked_at,partner_id,account_id,planification_type
104946002,918794,5502556181,601365,,2024-03-30 10:00:00 UTC,2024-03-30 19:00:00 UTC,,2024-03-30 10:00:00 UTC,2024-03-30 20:00:00 UTC,False,2024-03-31 20:01:06.154323 UTC,635399,,,2024-03-18 14:33:04.792222 UTC,2024-03-31 20:01:06.163557 UTC,,af26cfe7-2df6-4fda-b9eb-5dd76269539b,55877,scheduled
104942247,995295,5502556181,601365,,2024-03-26 10:00:00 UTC,2024-03-26 19:00:00 UTC,,2024-03-26 10:00:00 UTC,2024-03-26 19:00:00 UTC,False,2024-03-29 12:29:00.796795 UTC,635394,2024-03-25 15:27:28.873328 UTC,635399,2024-03-18 14:17:24.202454 UTC,2024-03-25 15:27:28.8804 UTC,,bb26f9ef-4741-4d21-9d37-927fb427d35b,55877,scheduled
104942258,989441,5502556181,601365,,2024-03-30 10:00:00 UTC,2024-03-30 19:00:00 UTC,,2024-03-30 10:00:00 UTC,2024-03-30 19:00:00 UTC,False,,,,,2024-03-18 14:17:24.202454 UTC,2024-03-18 14:17:24.202454 UTC,,4b3f95bc-f797-4913-8cec-b36fbec05d55,55877,scheduled
104944495,995295,5502556181,601365,,2024-03-27 10:00:00 UTC,2024-03-27 19:00:00 UTC,,2024-03-27 10:00:00 UTC,2024-03-27 19:00:00 UTC,0,2024-03-27 19:38:37.982152 UTC,635399,,,2024-03-18 14:26:58.723095 UTC,2024-03-27 19:38:37.99283 UTC,,504a1c7f-d13a-4d71-bbfd-36b304461d63,55877,scheduled
104942280,1016369,5502556181,601363,,2024-03-25 08:30:00 UTC,2024-03-25 17:30:00 UTC,,2024-03-25 08:30:00 UTC,2024-03-25 17:30:00 UTC,false,2024-03-26 10:38:41.943991 UTC,635394,2024-03-18 16:49:19.682757 UTC,635399,2024-03-18 14:17:24.202454 UTC,2024-03-18 16:49:19.694818 UTC,,db670de4-d150-4709-a091-d74a8e349aa4,55877,scheduled
104942273,972897,5502556181,601363,,2024-03-30 09:00:00 UTC,2024-03-30 17:00:00 UTC,,2024-03-30 09:00:00 UTC,2024-03-30 17:30:00 UTC,no,2024-03-30 21:01:00.377618 UTC,635399,,,2024-03-18 14:17:24.202454 UTC,2024-03-30 21:01:00.389278 UTC,,6c36af81-551a-473f-a675-d9901e697c47,55877,scheduled
104942287,989441,5502556181,601363,,2024-03-28 09:00:00 UTC,2024-03-28 18:00:00 UTC,,2024-03-28 09:00:00 UTC,2024-03-28 18:00:00 UTC,FALSE,2024-03-29 11:30:58 UTC,635394,2024-03-25 15:27:49.422287 UTC,635399,2024-03-18 14:17:24.202454 UTC,2024-03-29 11:31:06.827983 UTC,,370c6b27-315b-462c-b475-70ad3240799c,55877,scheduled
104942254,989441,5502556181,601365,,2024-03-26 10:00:00 UTC,2024-03-26 19:00:00 UTC,,2024-03-26 10:00:00 UTC,2024-03-26 19:00:00 UTC,yes,2024-03-26 11:19:20 UTC,635394,,,2024-03-18 14:17:24.202454 UTC,2024-03-26 11:19:26.151025 UTC,,74188682-b6d6-42a0-acdc-f710691c1cf7,55877,scheduled
104942250,972897,5502556181,601365,,2024-03-28 10:00:00 UTC,2024-03-28 19:00:00 UTC,,2024-03-28 10:00:00 UTC,2024-03-28 19:00:00 UTC,False,2024-03-28 20:03:38.516033 UTC,635399,,,2024-03-18 14:17:24.202454 UTC,2024-03-28 20:03:38.528216 UTC,,9698e146-2538-4ea0-8aba-69914a2932ff,55877,scheduled
104945894,918792,5502556181,601363,,2024-03-30 09:00:00 UTC,2024-03-30 18:00:00 UTC,,2024-03-30 09:00:00 UTC,2024-03-30 18:00:00 UTC,false,,,,,2024-03-18 14:32:58.400989 UTC,2024-03-30 21:01:03.959123 UTC,,9347ef0a-d998-43ff-a1fd-03d0a2eedca7,55877,scheduled
